Dia,TELEVISA,CEMEX,Dow Jones Mexico,BIMBO
327,10.55,11.61,3287.89,85.95
328,10.06,11.5,3307.75,85.06
329,10.04,11.6,3315.06,83.01
330,10.52,11.52,3284.45,82.6
331,10.72,11.76,3309.23,82.23
332,10.96,12.21,3348.61,83.35
333,10.97,12.25,3342.26,82.91
334,10.81,11.92,3280.02,82.31
335,10.67,11.7,3304.44,81.95
336,11.28,11.74,3287.33,82.37
337,11.33,11.85,3368.34,82.62
338,11.77,11.96,3346.19,83.78
339,12.34,12.22,3407.62,84.38
340,13.13,12.72,3384.57,83.69
341,13.08,13.02,3424.99,83.23
342,13.42,13.31,3415.72,84.22
343,13.33,13.48,3397.26,83.7
344,13.75,13.76,3411.05,83.75
345,13.92,13.76,3433.25,84.63
346,14.37,13.45,3448.87,83.88
347,14.65,13.96,3485.26,87.83
348,14.42,14.01,3467.38,88.39
349,14.29,13.84,3433.44,88.02
350,14,13.61,3412.65,86.98
351,14.42,13.49,3441.4,88.75
352,14.63,13.66,3429.12,89.32
353,14.53,13.63,3450.82,88.25
354,14.86,13.51,3477.97,88.78
355,15.07,13.26,3491.18,88.75
356,15,13.22,3476.79,90.22
357,15.32,13.8,3508.72,90.87
358,15.33,13.69,3505.41,89.64
359,15.23,13.59,3510.87,88.38
360,15.44,13.2,3518.18,88.76
361,15.69,13.3,3509.05,89.32
362,16.07,13.55,3597.22,89.65
363,15.99,13.51,3590.61,87.49
364,15.85,13.37,3538.61,89.19
365,15.97,13.08,3519.91,89.43
366,15.83,12.98,3514.52,86.95
367,15.59,12.88,3551.75,83.07
368,16.3,12.9,3516.65,83.61
369,16.83,12.72,3517.56,86.81
370,16.31,12.81,3522.18,88.58
371,15.9,12.78,3520.41,87.17
372,15.02,12.82,3558.27,88.18
373,14.97,12.65,3542.5,87.97
374,15.5,12.44,3525.23,86.79
375,15.63,12.58,3520.55,88.76
376,15.64,12.6,3562.74,87
377,15.81,12.48,3586.09,87.79
378,15.68,12.52,3551.27,90.39
379,15.27,12.35,3575.33,88.83
380,15.33,12.22,3574.37,89.63
381,16.16,12.39,3539.29,89.89
382,16.06,11.88,3529.83,88.47
383,15.96,11.9,3590.87,89.45
384,15.86,11.7,3628.81,87.61
385,16.12,11.54,3634.15,88.62
386,16.18,11.35,3625.94,89.06
387,16.75,11.9,3612.79,91.15
388,16.98,12.11,3583.32,92.25
389,17.33,12.14,3550.73,92.8
390,16.72,12.1,3562.17,91.65
391,16.86,11.97,3553.02,91.04
392,16.83,11.88,3562.19,90.82
393,17.09,12.09,3580.45,91.22
394,16.57,11.84,3553.07,90.82
395,16.35,11.89,3564.55,91.94
396,16.55,11.86,3595.72,91.56
397,16.68,12.06,3576.15,92.21
398,17.07,12.08,3588.43,92.18
399,16.96,12.34,3556.03,92.08
400,17.22,12.4,3573.26,92.13
401,17.48,12.54,3541.71,93.03
402,17.31,12.5,3580.05,93.51
403,16.92,12.31,3574.14,91.57
404,16.61,11.99,3603.94,92.88
405,16.41,12.06,3548.17,94.22
406,16.9,12,3552.3,92.83
407,16.95,11.91,3542.4,91.39
408,17.16,11.66,3570.54,92.37
409,16.48,11.17,3531.31,92.43
410,16.16,11.14,3531.09,92.49
411,15.67,10.63,3549.04,92.88
412,16.09,10.64,3582.03,94.56
413,16,10.56,3601.84,92.74
414,15.97,10.91,3636.17,93.67
415,16.11,11.08,3633.88,94.23
416,15.79,11.1,3663.46,93.53
417,16,10.98,3649.32,92.13
418,16.26,11.05,3611.33,91.01
419,16.42,11.32,3592.12,90.82
420,16.79,11.5,3608.63,93
421,16.89,11.64,3598.41,94.05
422,16.6,11.59,3594.28,92.88
423,16.32,11.53,3604.06,94.62
424,16.15,11.43,3546.85,96.04
425,16.19,11.59,3527.85,96.68
426,16.21,11.64,3493.68,96.46
427,16.31,11.56,3495.39,98.56
428,16.52,11.95,3531.56,97.91
429,16.49,11.63,3587.12,97.82
430,16.43,11.67,3575.41,98.96
431,16.25,11.31,3555.29,97.38
432,16.48,11.29,3534.22,95.25
433,16.87,11.47,3514.83,95.59
434,17.32,10.8,3537.67,96.3
435,16.9,10.62,3589.84,93.33
436,16.16,10.53,3652.36,91.89
